Model,Test Case,# of Waypoints,Error distance (Source),Time to destination (Source),Balancing (Source),Distance to the car Source,Source exec time
purePursuitUSCity,114,71,4.190230372,99999,1.591811081,31.6227766,22.0866028
purePursuitUSCity,115,72,3.721630923,55.09,1.636992884,31.6227766,14.8375104
purePursuitUSCity,116,51,4.956924563,43.77,1.544448213,31.6227766,12.7466975
purePursuitUSCity,117,21,0.004503313,15.94,3.56041E-11,31.6227766,7.9728828
purePursuitUSCity,118,61,1.963548335,88.47,0.4361321,31.6227766,20.0285011
purePursuitUSCity,119,31,0.990756952,15.46,0.685577042,31.6227766,7.9465377
purePursuitUSCity,120,71,16.66071738,45.57,2.082312294,31.6227766,13.1742168
purePursuitUSCity,121,51,1.933635761,58.67,1.154008448,31.6227766,15.1305169
purePursuitUSCity,122,41,2.693575676,44.41,1.914038037,31.6227766,12.6812726
purePursuitUSCity,123,31,3.58272418,28.54,0.84462987,31.6227766,10.1285207
purePursuitUSCity,124,41,1.43720588,33.58,0.812726516,31.6227766,11.0152851
purePursuitUSCity,125,72,1.227757406,32.95,0.599639221,31.6227766,11.0500237
purePursuitUSCity,126,32,1.810368515,22.98,0.417808804,31.6227766,9.245942
purePursuitUSCity,127,31,1.68113033,26.56,0.385450774,31.6227766,9.7479717
purePursuitUSCity,128,51,3.722365128,56.61,1.094224376,31.6227766,14.9055421
purePursuitUSCity,129,31,1.783487513,47.36,0.492612553,31.6227766,13.1337646
purePursuitUSCity,130,42,1.643716601,14.23,0.578673591,31.6227766,7.7094689
purePursuitUSCity,131,11,0.038112017,13.67,0.007901117,31.6227766,7.5218729
purePursuitUSCity,132,81,5.859817791,66.15,1.438198054,31.6227766,16.5632261
purePursuitUSCity,133,41,2.269433732,60.93,0.79229142,31.6227766,15.5863316
purePursuitUSCity,134,91,2.123535568,77.99,2.954045813,31.6227766,18.6259411
purePursuitUSCity,135,41,3.460907527,25.08,0.436207398,31.6227766,9.4777136
purePursuitUSCity,136,42,1.020593281,63.6,0.576529495,31.6227766,16.11837
purePursuitUSCity,137,62,0.142051873,12.67,0.1026406,31.6227766,7.4390241
purePursuitUSCity,138,71,0.248847584,17.81,0.130387679,31.6227766,8.3123632
purePursuitUSCity,139,31,0.618980829,42.48,0.141888482,31.6227766,12.1311589
purePursuitUSCity,140,41,3.692105772,48.21,1.856860905,31.6227766,13.4104286
purePursuitUSCity,141,21,1.529737297,30.89,0.423462929,31.6227766,10.404679
purePursuitUSCity,142,21,0.240924244,29.57,0.092711833,31.6227766,7.4964048
purePursuitUSCity,143,61,4.016881092,47.61,1.659980612,31.6227766,13.4446579
purePursuitUSCity,144,31,1.343540799,41.93,0.388675032,31.6227766,12.4338265
purePursuitUSCity,145,71,3.856707748,59.13,2.803901007,31.6227766,15.4170893
purePursuitUSCity,146,81,1.607436513,44.3,1.097597874,31.6227766,12.779185
purePursuitUSCity,147,62,1.734529292,16.56,0.512932923,31.6227766,8.1514521
purePursuitUSCity,148,51,7.533907688,84.48,2.217592335,31.6227766,19.6219919
purePursuitUSCity,149,61,4.346397737,38.07,1.190060532,31.6227766,11.8367826
purePursuitUSCity,150,11,0.025277529,15.79,0.002865151,31.6227766,7.8674093
purePursuitUSCity,151,51,1.455969328,60.45,0.576430069,31.6227766,15.5178838
purePursuitUSCity,152,61,2.52333552,48.14,0.722179086,31.6227766,13.3800807
purePursuitUSCity,153,41,0.954634845,44.27,0.376180616,31.6227766,12.873844
purePursuitUSCity,154,71,6.207283448,99999,1.746671976,31.6227766,22.0989153
purePursuitUSCity,155,111,22.54975619,59.27,1.90049821,31.6227766,19.3850777
purePursuitUSCity,156,21,1.120037086,19.45,0.389489997,31.6227766,8.5905747
purePursuitUSCity,157,51,4.350428998,64.4,1.851925341,31.6227766,16.2874961
purePursuitUSCity,158,41,0.937667062,27.73,0.0675575,31.6227766,10.047871
purePursuitUSCity,159,71,5.708852186,99999,2.140234366,31.6227766,22.5357637
purePursuitUSCity,160,61,46.54233121,75.19,5.251192927,31.6227766,18.0729393
purePursuitUSCity,161,21,0.928379197,11.82,0.12396438,31.6227766,7.2898033
purePursuitUSCity,162,61,3.487297327,47.25,1.576394326,31.6227766,13.3127867
purePursuitUSCity,163,72,1.863715973,41.31,1.304514366,31.6227766,12.4334379
purePursuitUSCity,164,51,1.400639588,63.06,0.748512002,31.6227766,15.8702185
purePursuitUSCity,165,11,0.002060622,6.16,1.10481E-08,31.6227766,6.309669
purePursuitUSCity,166,82,16.44900853,56.87,1.589204911,31.6227766,14.9893697
purePursuitUSCity,167,41,1.597721767,34.55,0.410397472,31.6227766,11.2130582
purePursuitUSCity,168,52,2.574836882,33.72,0.415359648,31.6227766,10.9964354
purePursuitUSCity,169,21,0.649745885,24.81,0.484424392,31.6227766,9.3920825
purePursuitUSCity,170,31,4.900302965,32.48,0.42711713,31.6227766,10.7261463
purePursuitUSCity,171,52,3.445519385,68.27,1.663141403,31.6227766,17.0330902
purePursuitUSCity,172,41,4.911394794,50.19,1.218946063,31.6227766,13.7571617
purePursuitUSCity,173,112,1.743361405,79.53,1.105714503,31.6227766,22.8229461
purePursuitUSCity,174,31,3.703631016,20.01,0.853051826,31.6227766,8.685283
purePursuitUSCity,175,101,4.951058489,68.09,2.858888352,31.6227766,16.9941505
purePursuitUSCity,176,71,7.724244563,54.69,1.393325742,31.6227766,14.2856755
purePursuitUSCity,177,72,2.041716137,59.49,0.838448954,31.6227766,15.4702864
purePursuitUSCity,178,21,2.573196961,11.47,0.077247225,31.6227766,7.1966393
purePursuitUSCity,179,41,5.365304873,28.21,0.98479348,31.6227766,10.2827875
purePursuitUSCity,180,51,1.471889399,48.11,0.402965376,31.6227766,13.3715646
purePursuitUSCity,181,11,0.001954155,6.97,1.08012E-13,31.6227766,6.4398661
purePursuitUSCity,182,51,1.764128201,46.31,0.98067215,31.6227766,13.2374259
purePursuitUSCity,183,11,0,0,0,31.6227766,5.2441073
purePursuitUSCity,184,72,1.383065341,31.36,0.4719333,31.6227766,10.4498339
purePursuitUSCity,185,21,1.928342455,19.83,0.392959515,31.6227766,8.6403885
purePursuitUSCity,186,41,0.325632452,6.37,0.070053731,31.6227766,6.4214723
purePursuitUSCity,187,31,0.046651791,6.35,0.022654457,31.6227766,6.3485455
purePursuitUSCity,188,21,0.004495121,21.94,3.32031E-12,31.6227766,8.9912045
purePursuitUSCity,189,51,11.38118555,73.98,1.433412068,31.6227766,17.8528267
purePursuitUSCity,190,62,2.321088404,67.25,1.814658996,31.6227766,16.6641588
purePursuitUSCity,191,41,2.653039417,35.44,0.169996789,31.6227766,11.3700732
purePursuitUSCity,192,61,1.987568316,58.82,1.810805906,31.6227766,15.2758795
purePursuitUSCity,193,91,4.251575839,56.47,1.236409325,31.6227766,15.0171141
purePursuitUSCity,194,41,4.730246305,32.88,0.829507735,31.6227766,10.8482968
purePursuitUSCity,195,81,5.389290199,87.61,1.24834986,31.6227766,20.2877429
purePursuitUSCity,196,31,0.057580871,38.37,0.011126706,31.6227766,11.8116309
purePursuitUSCity,197,51,1.894819516,42.74,0.723656919,31.6227766,12.553859
purePursuitUSCity,198,51,1.747227319,79.44,0.776821764,31.6227766,15.6254088
purePursuitUSCity,199,61,4.844424508,35.52,1.364838358,31.6227766,11.3849283
purePursuitUSCity,200,41,2.171517262,55.53,1.103299702,31.6227766,14.8926167
purePursuitUSCity,201,21,0.005466697,20.59,6.74769E-13,31.6227766,8.6316011
purePursuitUSCity,202,51,2.587626635,43.23,1.117250042,31.6227766,12.495922
purePursuitUSCity,203,51,1.192630284,54.42,0.433154814,31.6227766,11.8450985
purePursuitUSCity,204,71,7.117403187,60.22,3.842390751,31.6227766,15.8339746
purePursuitUSCity,205,102,2.39299237,77.83,1.946107763,31.6227766,22.6859645
purePursuitUSCity,206,71,5.345535977,83.5,1.722706977,31.6227766,19.5594541
purePursuitUSCity,207,81,1.3901633,99999,1.079619121,31.6227766,21.9677361
purePursuitUSCity,208,61,1.751491688,79.51,1.04507725,31.6227766,18.7671366
purePursuitUSCity,209,71,1.197843516,64.23,1.128049151,31.6227766,16.2078658
purePursuitUSCity,210,61,1.297542043,39.34,0.67174813,31.6227766,11.9384048
purePursuitUSCity,211,51,3.700012222,74.17,1.094526342,31.6227766,18.177389
purePursuitUSCity,212,52,0.733276719,39.74,1.310077486,31.6227766,12.1061437
purePursuitUSCity,213,91,24.4849938,76.93,2.110505275,31.6227766,18.4418921
purePursuitUSCity,214,42,5.084859843,36.16,0.942093056,31.6227766,11.4051956
purePursuitUSCity,215,111,4.831496653,99999,3.500391417,31.6227766,22.6044923
purePursuitUSCity,216,81,1.272802319,99999,1.736979473,31.6227766,22.1450331
purePursuitUSCity,217,71,5.437790882,63.75,0.846882936,31.6227766,16.0769529
purePursuitUSCity,218,11,0.002058686,5.94,2.39144E-10,31.6227766,6.2863345
purePursuitUSCity,219,52,9.077086042,55.59,2.269086584,31.6227766,14.9370989
purePursuitUSCity,220,61,4.59447155,90.26,2.225728741,31.6227766,20.5134016
purePursuitUSCity,221,52,3.958443013,52.37,1.185735736,31.6227766,14.199747
purePursuitUSCity,222,21,0.177139435,7.28,0.032569885,31.6227766,6.5137124
purePursuitUSCity,223,21,5.439650488,20.07,0.256767375,31.6227766,5.8617662
purePursuitUSCity,224,81,3.599527749,98.54,2.241652697,31.6227766,22.4101381
purePursuitUSCity,225,101,1.695215631,74.15,0.504416515,31.6227766,17.9721457
purePursuitUSCity,226,101,1.616335434,44.07,1.158058172,31.6227766,10.0136143
purePursuitUSCity,227,11,0.003599203,10.27,0,31.6227766,6.9130556
purePursuitUSCity,228,51,22.04644622,45.84,1.271806232,31.6227766,13.1717088
purePursuitUSCity,229,41,3.738728179,37.91,0.150471312,31.6227766,11.6533249
purePursuitUSCity,230,51,36.77979901,99999,5.315305599,31.6227766,22.2773431
purePursuitUSCity,231,51,1.602330714,61.71,0.359745522,31.6227766,12.7892121
purePursuitUSCity,232,51,1.361210151,60.71,0.740168125,31.6227766,12.8998232
purePursuitUSCity,233,11,0.005466708,19.09,0,31.6227766,8.4753978
purePursuitUSCity,234,62,0.600988681,24.43,0.129382497,31.6227766,9.4997437
purePursuitUSCity,235,31,0.110688632,11.95,0.023902883,31.6227766,7.3480995
purePursuitUSCity,236,41,5.64291199,48.1,1.106142927,31.6227766,13.516533
purePursuitUSCity,237,41,2.794380544,35.03,0.636151125,31.6227766,8.3054149
purePursuitUSCity,238,41,1.734649909,31.42,0.692779093,31.6227766,7.7262996
purePursuitUSCity,239,81,1.707445705,99999,1.459703499,31.6227766,22.1142356
purePursuitUSCity,240,81,4.276981956,77.65,2.685883646,31.6227766,15.8685769
purePursuitUSCity,241,61,1.765172064,40.29,0.654305303,31.6227766,12.134818
purePursuitUSCity,242,71,31.16532685,79.16,10.90882001,31.6227766,20.4502152
purePursuitUSCity,243,11,0.002298286,5.75,3.12821E-14,31.6227766,6.2935131
purePursuitUSCity,244,21,0.004504473,15.59,2.46716E-15,31.6227766,7.9447092
purePursuitUSCity,245,61,20.86471873,35.66,0.998869682,31.6227766,11.4035338
purePursuitUSCity,246,51,3.531866304,27.45,0.539242038,31.6227766,9.8336015
purePursuitUSCity,247,72,1.928893786,70.59,0.54053432,31.6227766,17.1870317
purePursuitUSCity,248,71,22.60409823,70.22,3.775802277,31.6227766,17.3212265
purePursuitUSCity,249,62,1.927010527,57.06,2.052886611,31.6227766,15.1530974
purePursuitUSCity,250,41,1.79702261,54.61,0.737763512,31.6227766,14.8407626
purePursuitUSCity,251,31,0.9318617,29.63,0.448282413,31.6227766,10.354979
purePursuitUSCity,252,41,4.943562833,35.02,1.744367137,31.6227766,11.3308744
purePursuitUSCity,253,62,1.594059259,67.17,1.486505943,31.6227766,16.6831237
purePursuitUSCity,254,61,0.606577893,18.24,0.109134905,31.6227766,8.4899326
purePursuitUSCity,255,41,23.32484465,99999,1.013405155,31.6227766,22.2694077
purePursuitUSCity,256,41,2.474163833,35.3,0.470649739,31.6227766,8.4103471
purePursuitUSCity,257,31,1.779070998,47.68,0.513610892,31.6227766,13.4376389
purePursuitUSCity,258,51,22.66858621,88.11,1.020898122,31.6227766,20.3148077
purePursuitUSCity,259,71,1.086017819,99999,1.603390742,31.6227766,22.3585957
purePursuitUSCity,260,11,0.000641569,3.05,8.48723E-09,31.6227766,5.8688726
purePursuitUSCity,261,51,1.299293108,44.31,1.352559683,31.6227766,12.8991269
purePursuitUSCity,262,61,1.863034266,79.57,0.703782593,31.6227766,18.5268325
purePursuitUSCity,263,11,0.001906188,6.33,1.6517E-09,31.6227766,6.3327726
purePursuitUSCity,264,31,0.125975907,8.5,0.028494896,31.6227766,6.7677777
purePursuitUSCity,265,22,0.144411865,5.98,0.048608179,31.6227766,10.2723066
purePursuitUSCity,266,31,5.959275687,47.56,0.69552427,31.6227766,13.4427732
purePursuitUSCity,267,81,3.313495368,82.07,1.737125419,31.6227766,19.5142463
purePursuitUSCity,268,61,1.959918916,81.79,1.434285331,31.6227766,19.2164713
purePursuitUSCity,269,51,4.74414391,49.12,1.000406942,31.6227766,13.6803752
purePursuitUSCity,270,21,0.032181906,32.6,0.01042541,31.6227766,10.7171486
purePursuitUSCity,271,81,1.384408713,70.27,1.39077248,31.6227766,17.5429664
purePursuitUSCity,272,91,1.981243123,99999,1.605409202,31.6227766,22.4714202
purePursuitUSCity,273,82,2.627576796,78.5,1.36523443,31.6227766,18.7021643
purePursuitUSCity,274,81,23.32927408,67.97,4.51266543,31.6227766,17.3373377
purePursuitUSCity,275,51,2.263212388,45.37,1.389293343,31.6227766,13.1030986
purePursuitUSCity,276,31,0.100196617,9.14,0.025486941,31.6227766,6.90485
purePursuitUSCity,277,51,1.803098303,40.33,1.938650405,31.6227766,12.3097843
purePursuitUSCity,278,41,0.306647422,5.67,0.072027725,31.6227766,6.3619296
purePursuitUSCity,279,31,0.023035545,29.35,1.59512E-16,31.6227766,10.2161031
purePursuitUSCity,280,51,1.113508274,54.07,0.829184205,31.6227766,14.4678796
purePursuitUSCity,281,31,1.720636089,38.09,0.797844005,31.6227766,11.755328
purePursuitUSCity,282,71,5.630108572,95.88,2.211958529,31.6227766,21.8812289
purePursuitUSCity,283,11,0,0,0,31.6227766,6.517547
purePursuitUSCity,284,51,1.909565145,42.21,1.206497133,31.6227766,14.8406085
purePursuitUSCity,285,61,9.90167209,38.69,1.428143686,31.6227766,13.4561192
purePursuitUSCity,286,91,2.366737419,74.94,2.018070518,31.6227766,20.6280693
purePursuitUSCity,287,61,1.470850286,86.11,1.065342665,31.6227766,21.9698286
purePursuitUSCity,288,31,7.382479457,31.68,1.160677942,31.6227766,12.4180978
purePursuitUSCity,289,31,0.283777779,4.95,0.026367277,31.6227766,3.9687785
purePursuitUSCity,290,11,0.00163144,6.36,0,31.6227766,7.7655076
purePursuitUSCity,291,61,3.738463328,59.67,1.552341396,31.6227766,17.5768361
purePursuitUSCity,292,71,6.756279737,47.78,1.018303153,31.6227766,15.8211239
purePursuitUSCity,293,21,0.017555116,16.33,0.012792097,31.6227766,9.7350367
purePursuitUSCity,294,71,1.819785741,99999,1.520116038,31.6227766,25.345264
purePursuitUSCity,295,21,3.725270924,43.85,0.55363605,31.6227766,15.3102613
purePursuitUSCity,296,71,1.833479023,99999,1.645470815,31.6227766,25.6162776
purePursuitUSCity,297,11,0.006919645,11.85,0.001854414,31.6227766,8.4056863
purePursuitUSCity,298,51,1.535045618,44.29,1.398532064,31.6227766,13.8708827
purePursuitUSCity,299,41,20.85726877,38.34,0.405222439,31.6227766,12.6898989
purePursuitUSCity,300,31,2.589091877,35.63,0.564583762,31.6227766,12.0522805
purePursuitUSCity,301,61,1.102156355,42.28,1.629649026,31.6227766,13.3664878
purePursuitUSCity,302,51,1.023368725,58.49,1.475162057,31.6227766,16.1468783
purePursuitUSCity,303,101,3.42352068,58.21,0.799476037,31.6227766,15.807225
purePursuitUSCity,304,71,23.31927462,86.94,1.613649503,31.6227766,20.1630102
purePursuitUSCity,305,61,4.941254128,99999,1.156921057,31.6227766,22.0450858
purePursuitUSCity,306,31,1.680204318,31.98,0.714948183,31.6227766,10.774057
purePursuitUSCity,307,51,2.864871888,21.22,0.728527464,31.6227766,8.997182
purePursuitUSCity,308,31,1.190817936,19.83,1.020461993,31.6227766,8.7816639
purePursuitUSCity,309,51,21.35617776,99999,5.016489548,31.6227766,22.2305499
purePursuitUSCity,310,71,3.643463219,43.55,1.459504755,31.6227766,12.8322699
purePursuitUSCity,311,61,1.410832525,48.34,1.450705511,31.6227766,13.5048053
purePursuitUSCity,312,51,1.557398726,59.36,0.881534914,31.6227766,15.3531352
purePursuitUSCity,313,31,2.749227632,29.66,0.452983048,31.6227766,10.2292674
purePursuitUSCity,314,41,1.651499952,55.86,1.297417776,31.6227766,14.7681932
purePursuitUSCity,315,11,0.002017126,7.81,6.15409E-13,31.6227766,6.6380436
purePursuitUSCity,316,51,1.863786249,46.35,1.143067935,31.6227766,13.2866666
purePursuitUSCity,317,51,0.438533016,25.21,0.065026606,31.6227766,6.8131674
purePursuitUSCity,318,61,6.0165622,99999,2.344613878,31.6227766,22.2258127
purePursuitUSCity,319,61,2.008165577,64.18,1.074140738,31.6227766,13.3719881
purePursuitUSCity,320,41,1.494641799,34.08,0.970395319,31.6227766,11.3595477
purePursuitUSCity,321,81,2.494549639,69.66,1.830208221,31.6227766,17.1945173
purePursuitUSCity,322,82,7.454596331,66.14,2.30230041,31.6227766,16.6602194
purePursuitUSCity,323,31,4.939356466,36.38,0.742112282,31.6227766,11.5011483
purePursuitUSCity,324,101,3.604625595,56.39,1.721942777,31.6227766,15.0621839
purePursuitUSCity,325,31,0.02311083,37.55,5.67649E-16,31.6227766,11.4221752
purePursuitUSCity,326,52,1.602244857,36.02,0.948169161,31.6227766,11.4688086
purePursuitUSCity,327,61,1.771146816,64.8,0.534934838,31.6227766,16.3260966
purePursuitUSCity,328,61,5.594817427,39.09,1.944357974,31.6227766,9.1393253
purePursuitUSCity,329,61,2.495619685,52.93,0.750732141,31.6227766,11.19244
purePursuitUSCity,330,81,2.616260513,94.81,1.819663594,31.6227766,21.3201646
